Year,Month,Detections
2022,4,0
2022,5,0
2022,6,4
2022,7,1
2022,8,0
2022,9,5
2022,10,0
2022,11,0
2023,3,0
2023,4,0
2023,5,0
2023,6,2
2023,7,6
2023,8,4
2023,9,0
2023,10,0
2023,11,0
2024,3,0
2024,4,0
2024,5,0
2024,6,3
2024,7,13
2024,8,8
2024,9,1
2024,10,2
2024,11,0
2024,12,0
